x,y,conc
545460,189380,8.244637
545480,189380,8.242339
545500,189380,8.240261
545520,189380,8.239846
545540,189380,8.239328
545560,189380,8.239004
545580,189380,8.239009
545600,189380,8.239214
545620,189380,8.23981
545640,189380,8.241326
545660,189380,8.244565
545680,189380,8.252654
545700,189380,8.289084
545720,189380,8.322743
545740,189380,8.262778
545760,189380,8.248715
545780,189380,8.24188
545800,189380,8.237734
545820,189380,8.23458
545840,189380,8.232157
545860,189380,8.230121
545880,189380,8.228406
545900,189380,8.226837
545920,189380,8.225404
545940,189380,8.22421
545960,189380,8.22309
545980,189380,8.222249
546000,189380,8.22145
546020,189380,8.221006
546040,189380,8.220613
546060,189380,8.220377
546080,189380,8.220268
546100,189380,8.220048
546120,189380,8.219895
546140,189380,8.219871
546160,189380,8.219563
546180,189380,8.219643
546200,189380,8.219318
546220,189380,8.219317
546240,189380,8.219106
546260,189380,8.219268
546280,189380,8.219794
546300,189380,8.220674
546320,189380,8.227064
546340,189380,8.228089
546360,189380,8.228989
546380,189380,8.229707
546400,189380,8.230532
546420,189380,8.231414
546440,189380,8.232393
546460,189380,8.233425
546480,189380,8.234894
546500,189380,8.236424
546520,189380,8.239141
546540,189380,8.242342
546560,189380,8.245835
546580,189380,8.249914
546600,189380,8.254658
546620,189380,8.260378
546640,189380,8.267371
546660,189380,8.276394
546680,189380,8.288076
546700,189380,8.303782
546720,189380,8.326342
546740,189380,8.360888
546760,189380,8.420953
546780,189380,8.55447
546800,189380,10.23663
546820,189380,8.924698
546840,189380,8.584578
546860,189380,8.469723
546880,189380,8.409749
546900,189380,8.371539
546920,189380,8.344198
546940,189380,8.323316
546960,189380,8.306618
546980,189380,8.292977
547000,189380,8.28168
547020,189380,8.272045
547040,189380,8.263996
547060,189380,8.256766
547080,189380,8.250375
547100,189380,8.244717
547120,189380,8.239727
547140,189380,8.235299
547160,189380,8.230935
547180,189380,8.226599
547200,189380,8.222886
547220,189380,8.219392
547240,189380,8.216288
547260,189380,8.212842
547280,189380,8.209532
547300,189380,8.205882
547320,189380,8.193166
547340,189380,8.19096
547360,189380,8.189493
547380,189380,8.189242
547400,189380,8.18934
547420,189380,8.190317
547440,189380,8.19254
547460,189380,8.196631
547480,189380,8.204486
547500,189380,8.219232
547520,189380,8.267068
547540,189380,8.245015
547560,189380,8.239056
547580,189380,8.241587
547600,189380,8.284899
547620,189380,8.359855
547640,189380,8.333479
547660,189380,8.255857
547680,189380,8.24734
547700,189380,8.260655
547720,189380,8.365763
547740,189380,8.287727
547760,189380,8.394244
547780,189380,8.319428
547800,189380,8.354391
547820,189380,8.348411
547840,189380,8.300487
