x,y,conc
519320,196720,8.141076
519340,196720,8.145838
519360,196720,8.163421
519380,196720,8.211246
519400,196720,8.268417
519420,196720,8.401784
519440,196720,8.484874
519460,196720,8.83087
519480,196720,10.93029
519500,196720,9.074181
519520,196720,8.670297
519540,196720,8.448978
519560,196720,8.323916
519580,196720,8.270641
519600,196720,8.317368
519620,196720,8.360346
519640,196720,8.230882
519660,196720,8.190543
519680,196720,8.154023
519700,196720,8.135626
519720,196720,8.122828
519740,196720,8.113392
519760,196720,8.107223
519780,196720,8.104319
519800,196720,8.107457
519820,196720,8.112426
519840,196720,8.165465
519860,196720,8.225142
519880,196720,8.205758
519900,196720,8.110549
519920,196720,8.096642
519940,196720,8.088375
519960,196720,8.081735
519980,196720,8.076899
520000,196720,8.073425
520020,196720,8.071579
520040,196720,8.070457
520060,196720,8.06944
520080,196720,8.068098
520100,196720,8.066898
520120,196720,8.066718
520140,196720,8.067716
520160,196720,8.070462
520180,196720,8.076212
520200,196720,8.092206
520220,196720,8.122384
520240,196720,8.201911
520260,196720,8.115734
520280,196720,8.113063
520300,196720,8.111095
520320,196720,8.105496
520340,196720,8.104417
520360,196720,8.106462
520380,196720,8.121639
520400,196720,8.134461
520420,196720,8.131347
520440,196720,8.163748
520460,196720,8.143046
520480,196720,8.182593
520500,196720,8.269013
520520,196720,8.287867
520540,196720,8.169828
520560,196720,8.128236
520580,196720,8.130228
520600,196720,8.245362
520620,196720,8.276835
520640,196720,8.247664
520660,196720,8.146028
520680,196720,8.149184
520700,196720,8.268278
520720,196720,8.267339
520740,196720,8.191646
520760,196720,8.183246
520780,196720,8.204043
520800,196720,8.303374
520820,196720,8.221176
520840,196720,8.234221
520860,196720,8.313757
520880,196720,8.334323
520900,196720,8.239697
520920,196720,8.208042
520940,196720,8.215911
520960,196720,8.237145
520980,196720,8.269813
521000,196720,8.320983
521020,196720,8.399641
521040,196720,8.522337
521060,196720,8.739418
521080,196720,10.41232
521100,196720,11.15305
521120,196720,9.275141
521140,196720,8.899707
521160,196720,8.947391
521180,196720,10.81474
521200,196720,10.50298
521220,196720,9.376356
521240,196720,8.726964
521260,196720,8.496318
521280,196720,8.366895
521300,196720,8.281264
521320,196720,8.219705
521340,196720,8.172993
521360,196720,8.136007
521380,196720,8.106079
521400,196720,8.081564
521420,196720,8.060886
521440,196720,8.043047
521460,196720,8.027421
521480,196720,8.012907
521500,196720,7.999895
521520,196720,7.989522
521540,196720,7.980217
521560,196720,7.971338
521580,196720,7.963264
521600,196720,7.956859
521620,196720,7.951421
521640,196720,7.946344
521660,196720,7.939369
521680,196720,7.930719
521700,196720,7.921508
521720,196720,7.912999
521740,196720,7.906745
521760,196720,7.903312
521780,196720,7.901969
521800,196720,7.901231
521820,196720,7.900801
521840,196720,7.900379
521860,196720,7.900073
521880,196720,7.899823
521900,196720,7.899538
521920,196720,7.899392
521940,196720,7.899213
521960,196720,7.899131
521980,196720,7.899199
522000,196720,7.899307
522020,196720,7.899493
522040,196720,7.899691
522060,196720,7.899919
522080,196720,7.900097
522100,196720,7.900409
522120,196720,7.900777
522140,196720,7.901313
522160,196720,7.902019
522180,196720,7.903047
522200,196720,7.904725
522220,196720,7.908022
522240,196720,7.916999
522260,196720,7.951984
522280,196720,7.962029
522300,196720,7.963909
522320,196720,7.930663
522340,196720,7.927741
522360,196720,7.921268
522380,196720,7.917866
522400,196720,7.915721
522420,196720,7.913951
522440,196720,7.912577
522460,196720,7.911546
522480,196720,7.910708
522500,196720,7.910022
522520,196720,7.910563
522540,196720,7.91118
522560,196720,7.911885
522580,196720,7.912604
522600,196720,7.913438
522620,196720,7.914304
522640,196720,7.915255
522660,196720,7.916314
522680,196720,7.917497
522700,196720,7.918746
522720,196720,7.920115
522740,196720,7.921512
522760,196720,7.923077
522780,196720,7.924661
522800,196720,7.926528
522820,196720,7.928756
522840,196720,7.931415
522860,196720,7.935049
522880,196720,7.941347
522900,196720,7.980556
522920,196720,7.963385
522940,196720,7.949774
522960,196720,7.945581
522980,196720,7.94441
523000,196720,7.94453
523020,196720,7.945318
523040,196720,7.946448
523060,196720,7.948229
523080,196720,7.950329
523100,196720,7.952632
523120,196720,7.955021
523140,196720,7.957285
523160,196720,7.959697
523180,196720,7.96214
523200,196720,7.964839
523220,196720,7.967742
523240,196720,7.971181
523260,196720,7.975117
523280,196720,7.981547
523300,196720,8.009067
523320,196720,8.008183
523340,196720,7.990748
523360,196720,7.988926
523380,196720,7.989397
523400,196720,7.990863
523420,196720,7.992573
523440,196720,7.995147
523460,196720,7.999819
523480,196720,8.039062
523500,196720,8.005528
523520,196720,8.003538
523540,196720,8.004511
523560,196720,8.006695
523580,196720,8.01125
523600,196720,8.052833
523620,196720,8.018433
523640,196720,8.017748
523660,196720,8.019952
523680,196720,8.022316
523700,196720,8.024077
523720,196720,8.026006
523740,196720,8.028323
523760,196720,8.03069
523780,196720,8.033783
523800,196720,8.036898
523820,196720,8.040272
523840,196720,8.044121
523860,196720,8.048442
523880,196720,8.053721
523900,196720,8.058784
523920,196720,8.064683
523940,196720,8.071404
523960,196720,8.080051
523980,196720,8.093286
524000,196720,8.113368
524020,196720,8.16198
524040,196720,8.155156
524060,196720,8.168507
524080,196720,8.189406
524100,196720,8.23411
524120,196720,8.226566
524140,196720,8.289842
524160,196720,8.207187
524180,196720,8.217523
524200,196720,8.245871
524220,196720,8.230551
524240,196720,8.256821
524260,196720,8.296528
524280,196720,8.422697
524300,196720,9.314632
524320,196720,8.420244
524340,196720,8.337637
524360,196720,8.351114
524380,196720,8.300897
524400,196720,8.301429
524420,196720,8.314669
524440,196720,8.346221
524460,196720,8.451204
524480,196720,9.782611
524500,196720,8.716578
