x,y,conc
521780,182580,9.413993
521800,182580,9.38516
521820,182580,9.487788
521840,182580,9.411981
521860,182580,9.381174
521880,182580,9.366345
521900,182580,9.356302
521920,182580,9.351443
521940,182580,9.348252
521960,182580,9.343713
521980,182580,9.350328
522000,182580,9.380611
522020,182580,9.560371
522040,182580,9.515303
522060,182580,9.434749
522080,182580,9.576591
522100,182580,9.418863
522120,182580,9.355309
522140,182580,9.334797
522160,182580,9.323595
522180,182580,9.315233
522200,182580,9.308246
522220,182580,9.302969
522240,182580,9.298828
522260,182580,9.29682
522280,182580,9.297076
522300,182580,9.30195
522320,182580,9.319412
522340,182580,9.379148
522360,182580,9.345158
522380,182580,9.376081
522400,182580,9.453943
522420,182580,9.702396
522440,182580,12.60374
522460,182580,9.710483
522480,182580,9.493579
522500,182580,9.399124
522520,182580,9.351684
522540,182580,9.322272
522560,182580,9.302581
522580,182580,9.289176
522600,182580,9.279387
522620,182580,9.272742
522640,182580,9.267973
522660,182580,9.26453
522680,182580,9.262513
522700,182580,9.261647
522720,182580,9.261024
522740,182580,9.261106
522760,182580,9.261823
522780,182580,9.263123
522800,182580,9.264686
522820,182580,9.266785
522840,182580,9.269162
522860,182580,9.271564
522880,182580,9.272705
522900,182580,9.273112
522920,182580,9.275965
522940,182580,9.278546
522960,182580,9.281448
522980,182580,9.284272
523000,182580,9.286885
523020,182580,9.29016
523040,182580,9.29361
523060,182580,9.29712
523080,182580,9.30019
523100,182580,9.303554
523120,182580,9.307176
523140,182580,9.310639
523160,182580,9.314428
523180,182580,9.318808
523200,182580,9.323437
523220,182580,9.328839
523240,182580,9.334399
523260,182580,9.340502
523280,182580,9.347163
523300,182580,9.353792
523320,182580,9.361359
523340,182580,9.369544
523360,182580,9.381445
523380,182580,9.392369
523400,182580,9.404564
523420,182580,9.417911
523440,182580,9.432336
523460,182580,9.448052
523480,182580,9.465728
523500,182580,9.48564
523520,182580,9.507137
523540,182580,9.531224
523560,182580,9.557384
523580,182580,9.584703
523600,182580,9.610328
523620,182580,9.639953
523640,182580,9.683531
523660,182580,9.754333
523680,182580,9.882243
523700,182580,10.11078
523720,182580,11.02939
523740,182580,11.25475
523760,182580,10.25535
523780,182580,10.03598
523800,182580,9.942573
523820,182580,9.991524
523840,182580,11.36105
523860,182580,10.38382
523880,182580,10.18216
523900,182580,10.01964
523920,182580,10.30698
523940,182580,10.16665
523960,182580,10.22113
523980,182580,9.92522
524000,182580,9.985728
524020,182580,9.722157
524040,182580,9.690464
524060,182580,9.638599
524080,182580,9.674181
524100,182580,9.626143
524120,182580,9.600198
524140,182580,9.674147
524160,182580,9.601138
524180,182580,9.58831
524200,182580,9.724323
524220,182580,9.58424
524240,182580,9.585251
524260,182580,9.635698
524280,182580,9.567457
524300,182580,9.558664
524320,182580,9.555177
524340,182580,9.554208
524360,182580,9.550658
524380,182580,9.551122
524400,182580,9.554026
524420,182580,9.561816
524440,182580,9.648964
524460,182580,9.584197
524480,182580,9.571018
524500,182580,9.567377
524520,182580,9.565195
524540,182580,9.566017
524560,182580,9.575826
524580,182580,9.66563
524600,182580,9.574335
524620,182580,9.569224
524640,182580,9.585084
524660,182580,9.604433
524680,182580,9.577896
524700,182580,9.584229
524720,182580,9.693883
524740,182580,9.589287
524760,182580,9.594454
524780,182580,9.748158
524800,182580,9.615067
524820,182580,9.618506
524840,182580,9.64565
524860,182580,9.945022
524880,182580,9.722472
524900,182580,9.669388
524920,182580,9.715112
524940,182580,9.718131
524960,182580,9.713419
524980,182580,9.64612
525000,182580,9.634023
525020,182580,9.630323
525040,182580,9.637337
525060,182580,9.66687
525080,182580,9.935874
525100,182580,9.70608
525120,182580,9.695455
525140,182580,9.777296
525160,182580,9.853276
525180,182580,9.810625
525200,182580,9.855353
525220,182580,10.07257
525240,182580,10.09595
525260,182580,9.811831
525280,182580,9.7324
525300,182580,9.695511
525320,182580,9.678365
525340,182580,9.715984
525360,182580,9.669639
525380,182580,9.644408
525400,182580,9.638372
525420,182580,9.664668
525440,182580,9.750437
525460,182580,9.637162
525480,182580,9.62878
525500,182580,9.62837
525520,182580,9.635522
525540,182580,9.698282
525560,182580,9.66512
525580,182580,9.755857
525600,182580,9.664677
525620,182580,9.656003
525640,182580,9.674603
525660,182580,9.853138
525680,182580,9.742456
525700,182580,9.642498
525720,182580,9.627417
525740,182580,9.619918
525760,182580,9.615548
525780,182580,9.614312
525800,182580,9.617482
525820,182580,9.651873
525840,182580,9.643036
525860,182580,9.624196
525880,182580,9.618714
525900,182580,9.618577
525920,182580,9.622028
525940,182580,9.63209
525960,182580,9.730665
525980,182580,9.646794
526000,182580,9.642673
526020,182580,9.64666
526040,182580,9.656256
526060,182580,9.67304
526080,182580,9.75633
526100,182580,9.729543
526120,182580,9.734241
526140,182580,9.758986
526160,182580,9.807827
526180,182580,9.955747
526200,182580,10.78689
526220,182580,10.08442
526240,182580,9.970527
526260,182580,10.05716
526280,182580,12.24565
526300,182580,10.4311
526320,182580,10.14527
526340,182580,9.940643
526360,182580,9.86235
526380,182580,9.817616
526400,182580,9.790293
526420,182580,9.773563
526440,182580,9.765497
526460,182580,9.821812
526480,182580,9.814393
526500,182580,9.755345
526520,182580,9.750333
526540,182580,9.754097
526560,182580,9.863466
526580,182580,9.812144
526600,182580,9.793435
526620,182580,9.792847
526640,182580,9.805078
526660,182580,9.829736
526680,182580,9.870758
526700,182580,9.947361
526720,182580,10.15694
526740,182580,11.92856
526760,182580,10.30944
526780,182580,11.05336
526800,182580,11.42432
526820,182580,10.29289
526840,182580,10.04961
526860,182580,9.947681
526880,182580,9.895012
526900,182580,9.86312
526920,182580,9.843261
526940,182580,9.834783
526960,182580,9.893509
526980,182580,9.87052
527000,182580,9.808506
527020,182580,9.797885
527040,182580,9.79643
527060,182580,9.89887
527080,182580,9.833751
527100,182580,9.780341
527120,182580,9.774503
527140,182580,9.774044
527160,182580,9.776129
527180,182580,9.781689
527200,182580,9.793213
527220,182580,9.82228
527240,182580,9.853376
527260,182580,9.9561
527280,182580,10.08385
527300,182580,9.915497
527320,182580,9.918167
527340,182580,9.964295
527360,182580,10.14285
527380,182580,10.43418
527400,182580,11.62341
527420,182580,10.25522
527440,182580,10.0674
527460,182580,9.997422
527480,182580,9.999118
527500,182580,9.920408
527520,182580,9.901545
527540,182580,9.907581
527560,182580,9.990074
527580,182580,10.02592
527600,182580,10.46352
527620,182580,9.962495
527640,182580,9.885327
527660,182580,9.843749
527680,182580,9.817334
527700,182580,9.799415
527720,182580,9.784566
527740,182580,9.773423
527760,182580,9.764093
527780,182580,9.756763
527800,182580,9.751327
527820,182580,9.747003
527840,182580,9.744071
527860,182580,9.741944
527880,182580,9.740235
527900,182580,9.739036
527920,182580,9.738821
527940,182580,9.739369
527960,182580,9.740991
527980,182580,9.744248
528000,182580,9.754451
528020,182580,9.848372
528040,182580,9.758521
528060,182580,9.752437
528080,182580,9.751838
528100,182580,9.752518
528120,182580,9.753322
528140,182580,9.754408
528160,182580,9.756302
528180,182580,9.758715
528200,182580,9.761716
528220,182580,9.765867
528240,182580,9.770732
528260,182580,9.775497
528280,182580,9.780629
528300,182580,9.786863
528320,182580,9.797366
528340,182580,9.875492
528360,182580,9.82195
528380,182580,9.812113
528400,182580,9.812429
528420,182580,9.814839
528440,182580,9.818311
528460,182580,9.822007
528480,182580,9.826506
528500,182580,9.831422
528520,182580,9.842041
528540,182580,9.853193
528560,182580,9.865103
528580,182580,9.878063
528600,182580,9.891778
528620,182580,9.90716
528640,182580,9.924804
528660,182580,9.946429
528680,182580,9.977861
528700,182580,10.04093
528720,182580,10.62893
528740,182580,10.24109
528760,182580,10.11047
528780,182580,10.18101
528800,182580,10.09032
528820,182580,12.59627
528840,182580,10.06885
528860,182580,10.0751
528880,182580,10.08582
528900,182580,10.0987
528920,182580,10.11169
528940,182580,10.13245
528960,182580,10.16743
528980,182580,10.17508
529000,182580,10.1568
529020,182580,10.15856
529040,182580,10.17065
529060,182580,10.25185
529080,182580,10.20855
529100,182580,10.20997
529120,182580,10.22531
529140,182580,10.25126
529160,182580,10.29154
529180,182580,10.36668
529200,182580,10.55494
529220,182580,13.5514
529240,182580,10.80233
529260,182580,10.5259
529280,182580,10.6177
529300,182580,10.39886
529320,182580,10.36301
529340,182580,10.4195
529360,182580,10.36063
529380,182580,10.41352
529400,182580,10.39619
529420,182580,10.37486
529440,182580,10.36335
529460,182580,10.39446
529480,182580,10.49749
529500,182580,11.98123
529520,182580,10.62584
529540,182580,10.4661
529560,182580,10.40983
529580,182580,10.3816
529600,182580,10.36994
529620,182580,10.49196
529640,182580,10.4156
529660,182580,10.3976
529680,182580,10.36006
529700,182580,10.34746
529720,182580,11.89682
529740,182580,14.53206
529760,182580,14.31422
529780,182580,14.12064
529800,182580,10.34668
529820,182580,10.33637
529840,182580,10.33704
529860,182580,10.35656
529880,182580,10.41506
529900,182580,10.35095
529920,182580,10.39391
529940,182580,10.35902
529960,182580,10.34153
529980,182580,10.34639
530000,182580,10.43085
530020,182580,10.35857
530040,182580,10.43422
530060,182580,10.36011
530080,182580,10.35439
530100,182580,10.42562
530120,182580,10.37316
530140,182580,10.37538
530160,182580,10.44429
530180,182580,10.39035
530200,182580,10.50805
530220,182580,10.45491
530240,182580,10.39504
530260,182580,10.3775
530280,182580,10.3731
530300,182580,10.37434
530320,182580,10.37397
530340,182580,10.37936
530360,182580,10.40242
530380,182580,10.49024
530400,182580,10.49919
530420,182580,10.45911
530440,182580,10.49554
530460,182580,10.42748
530480,182580,10.45198
530500,182580,10.57329
530520,182580,10.53857
530540,182580,10.80506
530560,182580,10.80789
530580,182580,10.7324
530600,182580,10.4695
530620,182580,12.54108
530640,182580,10.36838
530660,182580,10.35606
530680,182580,10.35161
530700,182580,10.35076
530720,182580,10.35177
530740,182580,10.3561
530760,182580,10.36837
530780,182580,10.39984
530800,182580,10.4716
