x,y,conc
536080,192900,8.73796
536100,192900,8.732656
536120,192900,8.72728
536140,192900,8.722067
536160,192900,8.716981
536180,192900,8.712505
536200,192900,8.707792
536220,192900,8.703562
536240,192900,8.699521
536260,192900,8.695898
536280,192900,8.692924
536300,192900,8.690909
536320,192900,8.690729
536340,192900,8.691349
536360,192900,8.688263
536380,192900,8.683889
536400,192900,8.679651
536420,192900,8.676346
536440,192900,8.674068
536460,192900,8.673422
536480,192900,8.674721
536500,192900,8.678319
536520,192900,8.690238
536540,192900,8.707377
536560,192900,8.734057
536580,192900,8.767138
536600,192900,8.843139
536620,192900,8.905528
536640,192900,8.935047
536660,192900,9.080197
536680,192900,10.46605
536700,192900,9.398552
536720,192900,9.080756
536740,192900,8.998735
536760,192900,8.925123
536780,192900,8.948496
536800,192900,8.911366
536820,192900,8.911974
536840,192900,8.943659
536860,192900,8.933419
536880,192900,8.903238
536900,192900,8.902916
536920,192900,8.867339
536940,192900,8.830599
536960,192900,8.828077
536980,192900,8.820354
537000,192900,8.817858
537020,192900,8.860754
537040,192900,8.848294
537060,192900,8.939754
537080,192900,8.885701
537100,192900,8.825379
537120,192900,8.94136
537140,192900,8.897984
537160,192900,8.908015
537180,192900,8.808748
537200,192900,8.821465
537220,192900,8.882295
537240,192900,8.793474
537260,192900,8.794278
537280,192900,8.769066
537300,192900,8.783334
537320,192900,8.838435
537340,192900,9.10085
537360,192900,9.268733
537380,192900,8.914169
537400,192900,8.869254
537420,192900,8.84433
537440,192900,8.874799
537460,192900,8.815236
537480,192900,8.838095
537500,192900,8.795334
537520,192900,8.794361
537540,192900,8.841783
537560,192900,8.805526
537580,192900,8.797767
537600,192900,8.789974
537620,192900,8.814303
537640,192900,8.777044
537660,192900,8.700919
537680,192900,8.677278
537700,192900,8.664747
537720,192900,8.660217
537740,192900,8.666838
537760,192900,8.662168
537780,192900,8.698035
537800,192900,8.784171
537820,192900,8.812374
537840,192900,8.738261
537860,192900,8.74045
537880,192900,8.816111
537900,192900,8.756187
537920,192900,8.834468
537940,192900,8.829099
537960,192900,8.884766
537980,192900,8.760509
538000,192900,8.800007
538020,192900,8.868005
538040,192900,8.833925
538060,192900,8.858982
538080,192900,8.888484
538100,192900,8.9519
538120,192900,8.947667
538140,192900,9.577122
538160,192900,9.692996
538180,192900,9.641338
538200,192900,9.452884
538220,192900,9.271121
538240,192900,8.829669
538260,192900,8.796636
538280,192900,8.734055
538300,192900,8.701265
538320,192900,8.682471
538340,192900,8.66333
538360,192900,8.646133
538380,192900,8.629143
538400,192900,8.614568
538420,192900,8.605206
538440,192900,8.605717
538460,192900,8.622358
538480,192900,8.65179
538500,192900,8.755755
538520,192900,8.719337
538540,192900,8.782586
538560,192900,8.844261
538580,192900,8.985386
538600,192900,11.69991
538620,192900,9.109593
538640,192900,8.798636
538660,192900,8.775998
538680,192900,8.68498
538700,192900,8.710009
538720,192900,8.633873
538740,192900,8.615948
538760,192900,8.601938
538780,192900,8.604381
538800,192900,8.690186
538820,192900,8.605607
538840,192900,8.614369
538860,192900,8.655126
538880,192900,8.745717
538900,192900,8.60088
538920,192900,8.636675
538940,192900,8.676859
538960,192900,8.625595
538980,192900,8.627569
539000,192900,8.655352
539020,192900,8.633177
539040,192900,8.67361
539060,192900,8.643296
539080,192900,8.629438
539100,192900,8.597856
539120,192900,8.646364
539140,192900,8.585844
539160,192900,8.561147
539180,192900,8.569077
539200,192900,8.610635
539220,192900,8.726403
539240,192900,8.867218
539260,192900,11.09865
539280,192900,8.940724
539300,192900,8.717215
539320,192900,8.619912
539340,192900,8.56401
539360,192900,8.526734
539380,192900,8.499881
539400,192900,8.479707
539420,192900,8.463709
539440,192900,8.45042
539460,192900,8.439181
539480,192900,8.429502
539500,192900,8.421072
539520,192900,8.414432
539540,192900,8.408186
539560,192900,8.402956
539580,192900,8.398547
539600,192900,8.394991
539620,192900,8.392299
539640,192900,8.389997
539660,192900,8.388494
539680,192900,8.394989
539700,192900,8.413089
539720,192900,8.453054
539740,192900,8.465499
539760,192900,8.483558
539780,192900,8.473172
539800,192900,8.435672
539820,192900,8.531687
539840,192900,8.419784
539860,192900,8.431801
539880,192900,8.424037
539900,192900,8.418369
539920,192900,8.441621
539940,192900,8.469976
539960,192900,8.429795
539980,192900,8.417511
540000,192900,8.406322
540020,192900,8.399574
540040,192900,8.398878
540060,192900,8.408095
540080,192900,8.436047
540100,192900,8.48848
540120,192900,8.497555
540140,192900,8.455755
540160,192900,8.447774
540180,192900,8.455929
540200,192900,8.431438
540220,192900,8.432279
540240,192900,8.439729
540260,192900,8.452628
540280,192900,8.47175
540300,192900,8.500914
540320,192900,8.555134
540340,192900,8.65393
540360,192900,9.003556
540380,192900,10.77962
540400,192900,9.014257
540420,192900,8.77
540440,192900,8.696651
540460,192900,8.677317
540480,192900,8.543735
540500,192900,8.518199
540520,192900,8.505758
540540,192900,8.487551
540560,192900,8.575832
540580,192900,8.532589
540600,192900,8.462943
540620,192900,8.435839
540640,192900,8.424867
540660,192900,8.41565
540680,192900,8.413052
540700,192900,8.409465
540720,192900,8.404189
540740,192900,8.405782
540760,192900,8.402444
540780,192900,8.408265
540800,192900,8.528262
540820,192900,8.416707
540840,192900,8.400198
540860,192900,8.385466
540880,192900,8.366175
540900,192900,8.357471
540920,192900,8.351842
540940,192900,8.348506
540960,192900,8.347563
540980,192900,8.34934
541000,192900,8.356057
541020,192900,8.368885
541040,192900,8.400524
541060,192900,8.400075
541080,192900,8.495167
541100,192900,8.440154
541120,192900,8.472114
541140,192900,8.442664
541160,192900,8.421734
541180,192900,8.429005
541200,192900,8.446302
541220,192900,8.45383
541240,192900,8.40186
541260,192900,8.39608
541280,192900,8.396102
541300,192900,8.422501
541320,192900,8.483533
541340,192900,8.487958
541360,192900,8.475687
541380,192900,8.498708
541400,192900,8.455474
541420,192900,8.472509
541440,192900,8.431954
541460,192900,8.476925
541480,192900,8.494937
541500,192900,8.587438
541520,192900,8.422788
541540,192900,8.421176
541560,192900,8.40703
541580,192900,8.426109
541600,192900,8.458843
541620,192900,8.414365
541640,192900,8.381637
541660,192900,8.372449
541680,192900,8.375313
541700,192900,8.373595
541720,192900,8.38144
541740,192900,8.390873
541760,192900,8.437221
541780,192900,8.478609
541800,192900,8.39272
541820,192900,8.393762
541840,192900,8.438216
541860,192900,8.358101
541880,192900,8.311746
541900,192900,8.283037
541920,192900,8.267733
541940,192900,8.257305
541960,192900,8.249182
541980,192900,8.242455
542000,192900,8.236885
542020,192900,8.23196
542040,192900,8.227644
542060,192900,8.223542
542080,192900,8.219629
542100,192900,8.215976
542120,192900,8.212881
542140,192900,8.210161
542160,192900,8.207886
542180,192900,8.205934
542200,192900,8.204081
542220,192900,8.202694
542240,192900,8.201732
542260,192900,8.201398
542280,192900,8.201709
542300,192900,8.20269
542320,192900,8.204753
542340,192900,8.207949
542360,192900,8.212008
542380,192900,8.217654
542400,192900,8.22515
542420,192900,8.236122
542440,192900,8.251983
542460,192900,8.276832
542480,192900,8.322804
542500,192900,8.448226
542520,192900,9.170952
542540,192900,8.457837
542560,192900,8.360577
542580,192900,8.338844
542600,192900,8.337364
542620,192900,8.347211
542640,192900,8.366369
542660,192900,8.395322
542680,192900,8.437085
542700,192900,8.496769
542720,192900,8.584514
542740,192900,8.731584
542760,192900,8.987436
542780,192900,9.831204
542800,192900,11.4274
542820,192900,11.46602
542840,192900,9.425188
542860,192900,8.937747
542880,192900,8.708044
542900,192900,8.56362
542920,192900,8.473774
542940,192900,8.409022
542960,192900,8.36016
542980,192900,8.321815
543000,192900,8.290815
543020,192900,8.264836
543040,192900,8.243697
543060,192900,8.225705
543080,192900,8.211099
543100,192900,8.198832
543120,192900,8.188671
543140,192900,8.179965
543160,192900,8.173101
543180,192900,8.168023
543200,192900,8.16573
543220,192900,8.169206
543240,192900,8.216321
543260,192900,8.197168
543280,192900,8.208135
543300,192900,8.287017
543320,192900,8.273943
543340,192900,8.213932
543360,192900,8.188624
543380,192900,8.219057
543400,192900,8.195089
543420,192900,8.263551
543440,192900,8.205788
543460,192900,8.192544
543480,192900,8.191536
543500,192900,8.324398
543520,192900,8.293597
543540,192900,8.214101
543560,192900,8.198744
543580,192900,8.276214
543600,192900,8.49166
543620,192900,8.438968
543640,192900,8.242186
543660,192900,8.175869
543680,192900,8.145713
543700,192900,8.128836
543720,192900,8.118258
543740,192900,8.111562
543760,192900,8.10742
543780,192900,8.10535
543800,192900,8.105304
543820,192900,8.107647
543840,192900,8.112593
543860,192900,8.121688
543880,192900,8.137459
543900,192900,8.165665
543920,192900,8.224083
543940,192900,8.396911
543960,192900,10.40791
543980,192900,8.472473
544000,192900,8.309473
544020,192900,8.257417
544040,192900,8.22071
544060,192900,8.204674
544080,192900,8.181724
544100,192900,8.190596
544120,192900,8.16776
544140,192900,8.157887
544160,192900,8.137334
544180,192900,8.125628
544200,192900,8.119526
544220,192900,8.119761
544240,192900,8.117495
544260,192900,8.128672
544280,192900,8.268062
544300,192900,8.161964
544320,192900,8.235792
544340,192900,8.128053
544360,192900,8.11623
544380,192900,8.088827
544400,192900,8.068878
544420,192900,8.056637
544440,192900,8.046178
544460,192900,8.037438
544480,192900,8.030248
544500,192900,8.024664
544520,192900,8.020385
544540,192900,8.016673
544560,192900,8.013573
544580,192900,8.010739
544600,192900,8.008423
544620,192900,8.006557
544640,192900,8.004604
544660,192900,8.00302
544680,192900,8.001728
544700,192900,8.000367
544720,192900,7.999416
544740,192900,7.998625
544760,192900,7.997786
544780,192900,7.997316
544800,192900,7.996926
544820,192900,7.996515
544840,192900,7.996249
544860,192900,7.99634
544880,192900,7.996426
544900,192900,7.996674
544920,192900,7.997161
544940,192900,7.997743
544960,192900,7.998606
544980,192900,7.999673
545000,192900,8.000769
545020,192900,8.00215
545040,192900,8.003654
545060,192900,8.005308
545080,192900,8.006927
545100,192900,8.008848
545120,192900,8.011029
545140,192900,8.01362
545160,192900,8.016785
545180,192900,8.020581
545200,192900,8.024823
545220,192900,8.030399
545240,192900,8.037675
545260,192900,8.048586
545280,192900,8.070362
545300,192900,8.109069
545320,192900,8.208186
545340,192900,8.156695
545360,192900,8.165462
545380,192900,8.188826
545400,192900,8.25493
545420,192900,8.414743
545440,192900,10.0159
545460,192900,9.629575
545480,192900,8.493756
545500,192900,8.315373
545520,192900,8.225956
545540,192900,8.174574
545560,192900,8.140616
545580,192900,8.118998
545600,192900,8.114871
545620,192900,8.145918
545640,192900,8.173297
545660,192900,8.09546
545680,192900,8.071585
545700,192900,8.059571
545720,192900,8.05364
545740,192900,8.112763
545760,192900,8.044272
545780,192900,8.015867
545800,192900,8.004171
545820,192900,7.995718
545840,192900,7.988776
545860,192900,7.982723
545880,192900,7.977463
545900,192900,7.972637
545920,192900,7.968607
545940,192900,7.964866
545960,192900,7.961708
545980,192900,7.959022
546000,192900,7.956723
546020,192900,7.954883
546040,192900,7.953155
546060,192900,7.951502
546080,192900,7.949429
546100,192900,7.947193
546120,192900,7.94495
546140,192900,7.942472
546160,192900,7.940434
546180,192900,7.93831
546200,192900,7.9367
546220,192900,7.935308
546240,192900,7.934177
546260,192900,7.933128
546280,192900,7.93284
546300,192900,7.932757
546320,192900,7.933068
546340,192900,7.933673
546360,192900,7.934884
546380,192900,7.936661
546400,192900,7.939116
546420,192900,7.942512
546440,192900,7.94734
546460,192900,7.954084
546480,192900,7.964066
546500,192900,7.984058
546520,192900,7.995612
546540,192900,8.051643
546560,192900,8.135125
546580,192900,8.089459
546600,192900,8.067212
546620,192900,8.136642
546640,192900,8.084595
546660,192900,8.221955
546680,192900,8.311671
546700,192900,8.1876
546720,192900,8.326052
546740,192900,9.54771
546760,192900,8.529313
546780,192900,8.169749
546800,192900,8.069856
546820,192900,8.01561
546840,192900,7.980651
546860,192900,7.95576
546880,192900,7.936661
546900,192900,7.921343
546920,192900,7.908572
546940,192900,7.897431
546960,192900,7.887698
546980,192900,7.878866
547000,192900,7.870775
547020,192900,7.863299
547040,192900,7.856345
547060,192900,7.849786
547080,192900,7.843448
547100,192900,7.837437
547120,192900,7.831539
547140,192900,7.825861
547160,192900,7.820218
547180,192900,7.814775
547200,192900,7.809744
547220,192900,7.804679
547240,192900,7.799931
547260,192900,7.795463
547280,192900,7.790991
547300,192900,7.786818
547320,192900,7.782863
547340,192900,7.778941
547360,192900,7.775173
547380,192900,7.771447
547400,192900,7.767896
547420,192900,7.764428
547440,192900,7.761199
547460,192900,7.757917
547480,192900,7.754608
547500,192900,7.751273
547520,192900,7.749217
547540,192900,7.747212
547560,192900,7.745312
547580,192900,7.743509
547600,192900,7.741693
547620,192900,7.7401
547640,192900,7.738494
547660,192900,7.737027
547680,192900,7.735682
547700,192900,7.734407
547720,192900,7.733409
547740,192900,7.732592
547760,192900,7.73208
547780,192900,7.732108
547800,192900,7.733077
547820,192900,7.735557
547840,192900,7.739528
547860,192900,7.748811
547880,192900,7.765695
547900,192900,7.8579
547920,192900,7.79789
547940,192900,7.78632
547960,192900,7.749891
547980,192900,7.738257
548000,192900,7.732012
548020,192900,7.727913
548040,192900,7.724718
548060,192900,7.721519
548080,192900,7.717948
548100,192900,7.714194
548120,192900,7.710388
548140,192900,7.706882
548160,192900,7.703719
548180,192900,7.700869
548200,192900,7.698252
548220,192900,7.695844
548240,192900,7.693563
548260,192900,7.691425
548280,192900,7.689376
548300,192900,7.687409
548320,192900,7.685511
548340,192900,7.683644
548360,192900,7.681846
548380,192900,7.680094
548400,192900,7.678383
548420,192900,7.676648
548440,192900,7.674978
548460,192900,7.673248
548480,192900,7.671606
548500,192900,7.669952
548520,192900,7.669115
548540,192900,7.668098
548560,192900,7.667267
548580,192900,7.666373
548600,192900,7.665487
548620,192900,7.664771
548640,192900,7.663991
548660,192900,7.663311
