x,y,conc
542200,167920,8.370021
542220,167920,8.386725
542240,167920,8.351997
542260,167920,8.347479
542280,167920,8.475416
542300,167920,8.346977
542320,167920,8.431964
542340,167920,8.38043
542360,167920,8.409973
542380,167920,8.978517
542400,167920,8.433288
542420,167920,8.384062
542440,167920,8.346592
542460,167920,8.335253
542480,167920,8.331266
542500,167920,8.364169
542520,167920,8.349393
542540,167920,8.476843
542560,167920,8.345599
542580,167920,8.369235
542600,167920,8.412758
542620,167920,8.428464
542640,167920,8.369243
542660,167920,8.439366
542680,167920,8.452821
542700,167920,8.449605
542720,167920,8.388692
542740,167920,8.32122
542760,167920,8.299402
542780,167920,8.303254
542800,167920,8.33723
542820,167920,8.34874
542840,167920,8.310562
542860,167920,8.29785
542880,167920,8.305091
542900,167920,8.38897
542920,167920,8.467076
542940,167920,8.351601
542960,167920,8.327327
542980,167920,8.352927
543000,167920,8.484063
543020,167920,8.981977
543040,167920,8.488659
543060,167920,8.359311
543080,167920,8.307704
543100,167920,8.278507
543120,167920,8.25908
543140,167920,8.244669
543160,167920,8.233481
543180,167920,8.224376
543200,167920,8.216296
543220,167920,8.209092
543240,167920,8.202853
543260,167920,8.19734
543280,167920,8.192494
543300,167920,8.1878
543320,167920,8.18332
543340,167920,8.179303
543360,167920,8.175934
543380,167920,8.172712
543400,167920,8.169621
543420,167920,8.165804
543440,167920,8.163108
543460,167920,8.160699
543480,167920,8.158494
543500,167920,8.155849
543520,167920,8.151565
543540,167920,8.147432
543560,167920,8.144741
543580,167920,8.142274
543600,167920,8.140046
543620,167920,8.137862
543640,167920,8.135752
543660,167920,8.134526
543680,167920,8.133362
543700,167920,8.132475
543720,167920,8.131714
543740,167920,8.131179
543760,167920,8.130835
543780,167920,8.130655
543800,167920,8.13101
543820,167920,8.131683
543840,167920,8.132846
543860,167920,8.134719
543880,167920,8.137088
543900,167920,8.140419
543920,167920,8.14693
543940,167920,8.164924
543960,167920,8.175233
543980,167920,8.321189
544000,167920,8.188938
544020,167920,8.18924
544040,167920,8.206136
544060,167920,8.174828
544080,167920,8.166912
544100,167920,8.157287
544120,167920,8.149596
544140,167920,8.145537
544160,167920,8.144428
544180,167920,8.149105
