x,y,conc
545120,159580,7.374413
545140,159580,7.372719
545160,159580,7.371146
545180,159580,7.369739
545200,159580,7.368429
545220,159580,7.367177
545240,159580,7.366117
545260,159580,7.365263
545280,159580,7.364569
545300,159580,7.36416
545320,159580,7.364143
545340,159580,7.364928
545360,159580,7.367703
545380,159580,7.384875
545400,159580,7.501837
545420,159580,7.383039
545440,159580,7.366699
545460,159580,7.36051
545480,159580,7.356966
545500,159580,7.354525
545520,159580,7.3534
545540,159580,7.352561
545560,159580,7.3519
545580,159580,7.35139
545600,159580,7.350978
545620,159580,7.35066
545640,159580,7.350393
545660,159580,7.350173
545680,159580,7.350001
545700,159580,7.349857
545720,159580,7.349759
545740,159580,7.349692
545760,159580,7.349673
545780,159580,7.34971
545800,159580,7.349788
545820,159580,7.34994
545840,159580,7.350184
545860,159580,7.350533
545880,159580,7.351057
545900,159580,7.351846
545920,159580,7.353063
545940,159580,7.355507
545960,159580,7.360787
545980,159580,7.387527
546000,159580,7.508358
546020,159580,7.378455
546040,159580,7.362939
546060,159580,7.357023
546080,159580,7.353763
546100,159580,7.351625
546120,159580,7.350118
546140,159580,7.34898
546160,159580,7.348071
546180,159580,7.347332
546200,159580,7.3467
546220,159580,7.346161
546240,159580,7.345687
546260,159580,7.345252
546280,159580,7.344865
546300,159580,7.344485
546320,159580,7.34411
546340,159580,7.343771
546360,159580,7.343444
546380,159580,7.343141
546400,159580,7.342829
546420,159580,7.342542
546440,159580,7.342262
546460,159580,7.341966
546480,159580,7.341558
546500,159580,7.341177
546520,159580,7.33952
546540,159580,7.337938
546560,159580,7.336472
546580,159580,7.335039
546600,159580,7.333595
546620,159580,7.332163
546640,159580,7.330726
546660,159580,7.329318
546680,159580,7.327921
546700,159580,7.32652
546720,159580,7.325142
546740,159580,7.323752
546760,159580,7.322385
546780,159580,7.32098
546800,159580,7.319591
546820,159580,7.318207
546840,159580,7.316813
546860,159580,7.315494
546880,159580,7.314167
546900,159580,7.312873
546920,159580,7.311589
546940,159580,7.310287
546960,159580,7.309036
546980,159580,7.307793
547000,159580,7.306546
547020,159580,7.305336
547040,159580,7.304138
547060,159580,7.302969
547080,159580,7.301823
547100,159580,7.30073
547120,159580,7.299669
547140,159580,7.298625
547160,159580,7.297607
547180,159580,7.296624
547200,159580,7.29571
547220,159580,7.294881
547240,159580,7.294171
547260,159580,7.293629
547280,159580,7.29331
547300,159580,7.29333
547320,159580,7.293902
547340,159580,7.295372
547360,159580,7.298423
547380,159580,7.306877
547400,159580,7.326428
547420,159580,7.4181
547440,159580,7.31259
547460,159580,7.29875
547480,159580,7.290158
547500,159580,7.284913
547520,159580,7.285082
547540,159580,7.286082
547560,159580,7.287596
547580,159580,7.289436
547600,159580,7.291515
547620,159580,7.29378
547640,159580,7.296232
547660,159580,7.298948
547680,159580,7.3019
547700,159580,7.305391
547720,159580,7.309835
547740,159580,7.316691
547760,159580,7.33793
547780,159580,7.34119
547800,159580,7.362785
547820,159580,7.374896
547840,159580,7.35669
547860,159580,7.343177
547880,159580,7.352844
547900,159580,7.363086
547920,159580,7.418151
547940,159580,7.522492
547960,159580,7.42935
547980,159580,7.373886
548000,159580,7.366456
548020,159580,7.365911
548040,159580,7.368766
548060,159580,7.373868
548080,159580,7.386186
548100,159580,7.453425
548120,159580,7.524546
548140,159580,7.576243
548160,159580,7.43698
548180,159580,7.417454
548200,159580,7.412905
548220,159580,7.41501
548240,159580,7.423438
548260,159580,7.430467
548280,159580,7.505219
548300,159580,7.511115
548320,159580,7.514394
548340,159580,7.499555
548360,159580,7.438907
548380,159580,7.446342
548400,159580,7.438752
548420,159580,7.452703
548440,159580,7.565142
548460,159580,7.569045
548480,159580,7.448456
548500,159580,7.433718
548520,159580,7.425225
548540,159580,7.421688
548560,159580,7.421705
548580,159580,7.429801
548600,159580,7.467358
548620,159580,7.61631
548640,159580,7.497983
548660,159580,7.451939
548680,159580,7.541259
548700,159580,7.541431
548720,159580,7.41921
548740,159580,7.39979
