x,y,conc
532280,186020,9.752166
532300,186020,9.749467
532320,186020,9.754699
532340,186020,9.875631
532360,186020,9.794608
532380,186020,9.777337
532400,186020,9.789825
532420,186020,9.825448
532440,186020,10.00635
532460,186020,10.2524
532480,186020,11.81453
532500,186020,10.09342
532520,186020,9.956088
532540,186020,9.908903
532560,186020,9.831718
532580,186020,9.818933
532600,186020,10.02289
532620,186020,9.805615
532640,186020,9.7916
532660,186020,9.847735
532680,186020,9.954686
532700,186020,9.792565
532720,186020,9.763504
532740,186020,9.755046
532760,186020,9.765644
532780,186020,9.898037
532800,186020,9.754257
532820,186020,9.740237
532840,186020,9.737972
532860,186020,9.740333
532880,186020,9.747972
532900,186020,9.764578
532920,186020,9.803083
532940,186020,9.955724
532960,186020,9.922771
532980,186020,10.21728
533000,186020,10.85986
533020,186020,10.14511
533040,186020,9.899127
533060,186020,9.830801
533080,186020,9.811121
533100,186020,9.81555
533120,186020,9.797246
533140,186020,9.831519
533160,186020,9.975527
533180,186020,9.891138
533200,186020,9.798182
533220,186020,9.767303
533240,186020,9.772401
533260,186020,9.817413
533280,186020,9.909691
533300,186020,9.781878
533320,186020,9.783806
533340,186020,9.748234
533360,186020,9.724099
533380,186020,9.710778
533400,186020,9.70901
533420,186020,9.721587
533440,186020,9.817773
533460,186020,9.932364
533480,186020,9.80595
533500,186020,9.815403
533520,186020,9.828505
533540,186020,9.923131
533560,186020,10.13831
533580,186020,12.76433
533600,186020,11.67131
533620,186020,11.50632
533640,186020,11.19572
533660,186020,10.99527
533680,186020,11.0854
533700,186020,10.96512
533720,186020,11.21499
533740,186020,11.20545
533760,186020,11.2431
533780,186020,11.35431
533800,186020,11.50455
533820,186020,11.26558
533840,186020,11.23592
533860,186020,10.73076
533880,186020,10.71739
533900,186020,10.48861
533920,186020,10.13357
533940,186020,10.1145
533960,186020,10.10591
533980,186020,10.27022
534000,186020,10.97564
534020,186020,10.18459
534040,186020,10.1433
534060,186020,9.971143
534080,186020,9.924269
534100,186020,10.02449
534120,186020,9.931411
534140,186020,9.869883
534160,186020,9.865632
534180,186020,9.961488
534200,186020,10.00054
534220,186020,9.911465
534240,186020,10.05022
534260,186020,10.62196
534280,186020,10.11733
534300,186020,10.11577
534320,186020,10.1361
534340,186020,10.01234
534360,186020,9.930317
534380,186020,10.05928
534400,186020,10.10911
534420,186020,9.859752
534440,186020,9.85504
534460,186020,9.917219
534480,186020,9.840539
534500,186020,9.818681
534520,186020,9.805211
534540,186020,9.801034
534560,186020,9.808979
534580,186020,9.837297
534600,186020,9.964203
534620,186020,9.880098
534640,186020,9.998638
534660,186020,10.02131
534680,186020,9.976376
534700,186020,9.980868
534720,186020,9.948922
534740,186020,9.888994
534760,186020,10.10898
534780,186020,9.942033
534800,186020,9.92532
534820,186020,9.92633
534840,186020,10.01719
534860,186020,10.3577
534880,186020,13.50199
534900,186020,10.57542
534920,186020,10.24882
534940,186020,10.07632
534960,186020,10.12884
534980,186020,9.983278
535000,186020,10.04354
535020,186020,9.929145
535040,186020,9.822374
535060,186020,9.780225
535080,186020,9.767089
535100,186020,9.764024
535120,186020,9.80961
535140,186020,9.788679
535160,186020,9.949631
535180,186020,9.914763
535200,186020,9.917662
535220,186020,9.753773
535240,186020,9.732368
535260,186020,9.733061
535280,186020,9.744837
535300,186020,9.85408
535320,186020,9.859732
535340,186020,9.69934
535360,186020,9.738421
535380,186020,9.807238
535400,186020,9.825528
535420,186020,9.759665
535440,186020,9.687018
535460,186020,9.637716
535480,186020,9.698578
535500,186020,9.642723
535520,186020,9.966783
535540,186020,9.672888
535560,186020,9.577125
535580,186020,9.560616
535600,186020,9.609155
535620,186020,9.58053
535640,186020,9.558674
535660,186020,9.607887
535680,186020,9.696443
535700,186020,9.536005
535720,186020,9.520134
535740,186020,9.693105
535760,186020,9.526198
535780,186020,9.495794
535800,186020,9.492944
535820,186020,9.46643
535840,186020,9.538014
535860,186020,9.449757
535880,186020,9.424829
535900,186020,9.436017
535920,186020,9.586714
535940,186020,9.422086
535960,186020,9.422775
535980,186020,9.544846
536000,186020,9.421075
536020,186020,9.354837
536040,186020,9.384036
536060,186020,9.323612
536080,186020,9.297335
