x,y,conc
529680,175280,9.811197
529700,175280,9.83987
529720,175280,10.0557
529740,175280,10.08795
529760,175280,9.89235
529780,175280,9.790514
529800,175280,9.776303
529820,175280,9.775473
529840,175280,9.827627
529860,175280,9.933391
529880,175280,9.967174
529900,175280,10.03848
529920,175280,9.782201
529940,175280,9.726949
529960,175280,9.709469
529980,175280,9.712169
530000,175280,9.716172
530020,175280,9.749194
530040,175280,9.96099
530060,175280,10.85888
530080,175280,9.7827
530100,175280,9.690823
530120,175280,9.653566
530140,175280,9.639834
530160,175280,9.636553
530180,175280,9.635255
530200,175280,9.635163
530220,175280,9.640124
530240,175280,9.787312
530260,175280,9.661546
530280,175280,9.635953
530300,175280,9.643392
530320,175280,9.927911
530340,175280,9.631918
530360,175280,9.620199
530380,175280,9.826837
530400,175280,9.614566
530420,175280,9.746555
530440,175280,9.633912
530460,175280,9.608102
530480,175280,9.757091
530500,175280,9.658441
530520,175280,9.672884
530540,175280,10.01363
530560,175280,9.895346
530580,175280,9.655002
530600,175280,9.611303
530620,175280,9.593656
530640,175280,9.586462
530660,175280,9.584346
530680,175280,9.584707
530700,175280,9.59114
530720,175280,9.608995
530740,175280,9.659728
530760,175280,9.915145
530780,175280,9.705452
530800,175280,9.684792
530820,175280,9.676382
530840,175280,9.681788
530860,175280,9.699031
530880,175280,9.727266
530900,175280,9.768451
530920,175280,9.827478
530940,175280,9.912124
530960,175280,10.03446
530980,175280,10.24055
531000,175280,14.34004
531020,175280,12.37339
531040,175280,10.92754
531060,175280,10.14265
531080,175280,10.03592
531100,175280,10.02614
531120,175280,9.925906
531140,175280,9.838353
531160,175280,9.799773
531180,175280,9.785245
531200,175280,9.819131
531220,175280,9.997829
531240,175280,9.743942
531260,175280,9.735834
531280,175280,9.754951
531300,175280,10.16172
531320,175280,9.832104
531340,175280,9.731471
531360,175280,9.672063
531380,175280,9.65618
531400,175280,9.689383
531420,175280,9.969101
531440,175280,9.671165
531460,175280,9.631561
531480,175280,9.623198
531500,175280,9.635527
531520,175280,9.62283
531540,175280,9.766954
531560,175280,9.676255
531580,175280,9.757726
531600,175280,9.584664
531620,175280,9.557947
531640,175280,9.552433
531660,175280,9.568257
531680,175280,9.540172
531700,175280,9.538359
531720,175280,9.57338
