x,y,conc
519100,203440,7.892006
519120,203440,7.993147
519140,203440,8.219271
519160,203440,8.054134
519180,203440,7.904491
519200,203440,7.838168
519220,203440,7.800008
519240,203440,7.770976
519260,203440,7.747657
518940,203420,7.894738
518960,203420,8.305027
518980,203420,8.174833
519000,203420,7.952058
519020,203420,7.894127
519040,203420,7.882726
519060,203420,7.888626
519080,203420,7.954345
519100,203420,8.040802
519120,203420,7.934231
519140,203420,7.961277
519160,203420,8.090816
519180,203420,8.285667
519200,203420,8.138808
519220,203420,7.996688
519240,203420,7.900912
519260,203420,7.854513
519280,203420,7.823378
519300,203420,7.799104
519320,203420,7.777967
519340,203420,7.758477
519360,203420,7.740253
519380,203420,7.721572
519400,203420,7.704573
519420,203420,7.687288
518860,203400,7.946915
518880,203400,7.862781
518900,203400,7.879009
518920,203400,7.917426
518940,203400,7.996353
518960,203400,8.401005
518980,203400,8.329535
519000,203400,8.029292
519020,203400,7.978465
519040,203400,7.965138
519060,203400,7.966927
519080,203400,7.981038
519100,203400,8.055852
519120,203400,8.048654
519140,203400,8.021523
519160,203400,8.029511
519180,203400,8.084416
519200,203400,8.210855
519220,203400,8.386118
519240,203400,8.211381
519260,203400,8.053135
519280,203400,7.977503
519300,203400,7.933295
519320,203400,7.899787
519340,203400,7.869702
519360,203400,7.84226
519380,203400,7.815495
519400,203400,7.791281
519420,203400,7.767231
519440,203400,7.743711
519460,203400,7.72031
519480,203400,7.6966
519500,203400,7.673891
519520,203400,7.652701
518780,203380,7.839068
518800,203380,7.989463
518820,203380,7.983691
518840,203380,8.10021
518860,203380,7.950804
518880,203380,7.962598
518900,203380,8.003481
518920,203380,8.068895
518940,203380,8.194666
518960,203380,8.713866
518980,203380,8.415693
519000,203380,8.211831
519020,203380,8.127602
519040,203380,8.118783
519060,203380,8.127192
519080,203380,8.142741
519100,203380,8.167086
519120,203380,8.256361
519140,203380,8.233752
519160,203380,8.199026
519180,203380,8.194841
519200,203380,8.202499
519220,203380,8.231061
519240,203380,8.347453
519260,203380,8.526492
519280,203380,8.329994
519300,203380,8.20017
519320,203380,8.113943
519340,203380,8.053277
519360,203380,8.003926
519380,203380,7.96051
519400,203380,7.922216
519420,203380,7.885449
519440,203380,7.850246
519460,203380,7.815641
519480,203380,7.781077
519500,203380,7.748426
519520,203380,7.718578
519540,203380,7.690715
519560,203380,7.66507
518740,203360,7.768876
518760,203360,7.814817
518780,203360,7.876112
518800,203360,8.121062
518820,203360,8.118035
518840,203360,8.21063
518860,203360,8.084105
518880,203360,8.140781
518900,203360,8.23451
518920,203360,8.445904
518940,203360,8.792646
518960,203360,8.61893
518980,203360,8.429449
519000,203360,8.395695
519020,203360,8.398063
519040,203360,8.422888
519060,203360,8.459644
519080,203360,8.496143
519100,203360,8.554796
519120,203360,8.601213
519140,203360,8.747243
519160,203360,8.621779
519180,203360,8.597537
519200,203360,8.583275
519220,203360,8.565531
519240,203360,8.529008
519260,203360,8.546893
519280,203360,8.678498
519300,203360,8.750096
519320,203360,8.686786
519340,203360,8.463173
519360,203360,8.311769
519380,203360,8.220325
519400,203360,8.146789
519420,203360,8.080059
519440,203360,8.020209
519460,203360,7.963075
519480,203360,7.907019
519500,203360,7.855612
519520,203360,7.8105
519540,203360,7.77047
519560,203360,7.734759
519580,203360,7.70291
519600,203360,7.674456
518700,203340,7.758682
518720,203340,7.802787
518740,203340,7.854726
518760,203340,7.917601
518780,203340,7.99832
518800,203340,8.2398
518820,203340,8.349032
518840,203340,8.258194
518860,203340,8.361205
518880,203340,8.558041
518900,203340,8.952879
518920,203340,9.024113
518940,203340,8.879301
518960,203340,8.84294
518980,203340,8.931708
519000,203340,9.148474
519020,203340,9.22716
519040,203340,9.455488
519060,203340,9.729463
519080,203340,9.83667
519100,203340,10.17645
519120,203340,10.26346
519140,203340,10.31041
519160,203340,10.32784
519180,203340,10.25904
519200,203340,10.22548
519220,203340,10.15901
519240,203340,9.823105
519260,203340,9.707828
519280,203340,9.694216
519300,203340,9.660939
519320,203340,9.385432
519340,203340,9.296336
519360,203340,9.146523
519380,203340,8.899603
519400,203340,8.679132
519420,203340,8.469268
519440,203340,8.342194
519460,203340,8.226012
519480,203340,8.11642
519500,203340,8.023764
519520,203340,7.949085
519540,203340,7.886794
519560,203340,7.833362
519580,203340,7.787176
519600,203340,7.746985
519620,203340,7.711756
519640,203340,7.680761
518660,203320,7.746209
518680,203320,7.791216
518700,203320,7.844505
518720,203320,7.907815
518740,203320,7.986574
518760,203320,8.096171
518780,203320,8.331188
518800,203320,8.540826
518820,203320,8.504794
518840,203320,8.732337
518860,203320,9.25258
518880,203320,9.399525
518900,203320,9.545216
518920,203320,9.882873
518940,203320,10.29817
518960,203320,10.60999
518980,203320,10.86537
519000,203320,10.78593
519020,203320,10.8394
519040,203320,10.97768
519060,203320,10.92707
519080,203320,11.3105
519100,203320,11.09428
519120,203320,11.03194
519140,203320,11.13151
519160,203320,11.32379
519180,203320,10.90048
519200,203320,10.85146
519220,203320,10.86357
519240,203320,11.00292
519260,203320,10.79403
519280,203320,10.78455
519300,203320,10.60064
519320,203320,10.61619
519340,203320,10.72499
519360,203320,10.71133
519380,203320,10.45875
519400,203320,10.31688
519420,203320,9.923343
519440,203320,9.339109
519460,203320,8.87296
519480,203320,8.538059
519500,203320,8.330564
519520,203320,8.188545
519540,203320,8.077655
519560,203320,7.98717
519580,203320,7.912511
519600,203320,7.85111
519620,203320,7.799298
519640,203320,7.755249
519660,203320,7.716169
519680,203320,7.683022
518620,203300,7.729587
518640,203300,7.773334
518660,203300,7.826707
518680,203300,7.893595
518700,203300,7.976164
518720,203300,8.081914
518740,203300,8.284358
518760,203300,8.506999
518780,203300,8.610565
518800,203300,9.024726
518820,203300,9.527245
518840,203300,10.04254
518860,203300,10.61954
518880,203300,11.09694
518900,203300,10.79828
518920,203300,10.80683
518940,203300,10.89301
518960,203300,11.21419
518980,203300,11.22963
519000,203300,11.00803
519020,203300,10.86997
519040,203300,10.32621
519060,203300,10.05279
519080,203300,9.64956
519100,203300,9.385385
519120,203300,9.324473
519140,203300,9.341538
519160,203300,9.684721
519180,203300,9.278133
519200,203300,9.250102
519220,203300,9.291711
519240,203300,9.575262
519260,203300,9.93476
519280,203300,9.973943
519300,203300,10.20429
519320,203300,10.53269
519340,203300,10.80242
519360,203300,10.9696
519380,203300,10.88255
519400,203300,10.71042
519420,203300,10.48542
519440,203300,10.67615
519460,203300,11.10626
519480,203300,9.9428
519500,203300,9.28377
519520,203300,8.772868
519540,203300,8.473917
519560,203300,8.272017
519580,203300,8.123242
519600,203300,8.016099
519620,203300,7.930933
519640,203300,7.862596
519660,203300,7.805225
519680,203300,7.757611
519700,203300,7.716404
519720,203300,7.680812
518580,203280,7.711345
518600,203280,7.753332
518620,203280,7.803585
518640,203280,7.865692
518660,203280,7.945655
518680,203280,8.062778
518700,203280,8.31343
518720,203280,8.409791
518740,203280,8.634652
518760,203280,9.142559
518780,203280,10.11693
518800,203280,10.73914
518820,203280,10.93361
518840,203280,10.67506
518860,203280,10.96621
518880,203280,11.21912
518900,203280,11.14563
518920,203280,11.02234
518940,203280,10.56494
518960,203280,10.26599
518980,203280,11.21046
519000,203280,12.57202
519020,203280,11.28073
519040,203280,9.673086
519060,203280,9.456863
519080,203280,9.115162
519100,203280,8.923182
519120,203280,8.770659
519140,203280,8.706849
519160,203280,9.004413
519180,203280,8.677405
519200,203280,8.872745
519220,203280,9.075995
519240,203280,9.078039
519260,203280,9.031105
519280,203280,9.039909
519300,203280,9.082832
519320,203280,9.146684
519340,203280,9.246532
519360,203280,9.469424
519380,203280,9.75234
519400,203280,10.30337
519420,203280,10.78311
519440,203280,11.18405
519460,203280,11.00811
519480,203280,10.46064
519500,203280,10.42599
519520,203280,10.41707
519540,203280,10.19696
519560,203280,9.034699
519580,203280,8.585907
519600,203280,8.334973
519620,203280,8.156096
519640,203280,8.034213
519660,203280,7.940636
519680,203280,7.865541
519700,203280,7.803612
519720,203280,7.75235
519740,203280,7.709263
511640,203260,9.079359
511660,203260,8.862645
511680,203260,8.470897
511700,203260,8.73071
511720,203260,8.927662
511740,203260,8.352925
511760,203260,8.220186
511780,203260,8.171066
511800,203260,8.155608
511820,203260,8.15828
511840,203260,8.172636
511860,203260,8.201109
511880,203260,8.248225
511900,203260,8.309483
511920,203260,8.376456
511940,203260,8.475337
511960,203260,8.520646
511980,203260,8.526251
512000,203260,8.52431
512020,203260,8.513385
512040,203260,8.500576
518540,203260,7.691242
518560,203260,7.730838
518580,203260,7.778554
518600,203260,7.837284
518620,203260,7.910748
518640,203260,8.006502
518660,203260,8.140272
518680,203260,8.428981
518700,203260,8.617129
518720,203260,9.105876
518740,203260,10.40497
518760,203260,11.3462
518780,203260,11.00427
518800,203260,11.18506
518820,203260,11.2616
518840,203260,10.73365
518860,203260,10.08297
518880,203260,9.728579
518900,203260,11.23131
518920,203260,13.16287
518940,203260,11.72807
518960,203260,9.515952
518980,203260,9.2241
519000,203260,8.978971
519020,203260,9.05072
519040,203260,9.192982
519060,203260,9.994828
519080,203260,12.19607
519100,203260,13.46218
519120,203260,9.345679
519140,203260,9.230209
519160,203260,9.280691
519180,203260,9.151672
519200,203260,8.790504
519220,203260,8.372166
519240,203260,8.277723
519260,203260,8.245665
519280,203260,8.243077
519300,203260,8.319824
519320,203260,8.438571
519340,203260,8.492603
519360,203260,8.456935
519380,203260,8.534486
519400,203260,8.735703
519420,203260,8.928493
519440,203260,9.204278
519460,203260,9.867359
519480,203260,10.48666
519500,203260,10.61186
519520,203260,10.1297
519540,203260,9.949874
519560,203260,10.33735
519580,203260,10.26239
519600,203260,9.455231
519620,203260,8.637356
519640,203260,8.370737
519660,203260,8.179022
519680,203260,8.0373
519700,203260,7.933236
519720,203260,7.85326
519740,203260,7.789598
519760,203260,7.738019
519780,203260,7.695442
511520,203240,8.08319
511540,203240,8.10148
511560,203240,8.194495
511580,203240,8.464142
511600,203240,9.40286
511620,203240,9.285933
511640,203240,9.323672
511660,203240,9.184188
511680,203240,8.76596
511700,203240,9.320486
511720,203240,8.905231
511740,203240,8.524206
511760,203240,8.442626
511780,203240,8.422642
511800,203240,8.437203
511820,203240,8.458482
511840,203240,8.471176
511860,203240,8.488618
511880,203240,8.510552
511900,203240,8.553648
511920,203240,8.637402
511940,203240,8.684747
511960,203240,8.693689
511980,203240,8.680789
512000,203240,8.677216
512020,203240,8.65435
512040,203240,8.598155
512060,203240,8.55629
512080,203240,8.531383
512100,203240,8.50295
512120,203240,8.478353
512140,203240,8.4618
512160,203240,8.450008
512180,203240,8.449664
512200,203240,8.47326
512220,203240,8.543742
518500,203240,7.670188
518520,203240,7.706984
518540,203240,7.751213
518560,203240,7.805465
518580,203240,7.874143
518600,203240,7.96345
518620,203240,8.083697
518640,203240,8.257784
518660,203240,8.547194
518680,203240,9.195861
518700,203240,10.57522
518720,203240,10.91173
518740,203240,11.05261
518760,203240,11.19599
518780,203240,10.84254
518800,203240,10.23161
518820,203240,9.558003
518840,203240,9.38553
518860,203240,10.24384
518880,203240,12.0475
518900,203240,9.698262
518920,203240,8.99419
518940,203240,8.676455
518960,203240,8.510452
518980,203240,8.407047
519000,203240,8.342276
519020,203240,8.317174
519040,203240,8.317118
519060,203240,8.34334
519080,203240,8.428619
519100,203240,8.600123
519120,203240,8.904982
519140,203240,10.77044
519160,203240,9.19919
519180,203240,9.053987
519200,203240,8.397169
519220,203240,8.122298
519240,203240,8.243905
519260,203240,8.17059
519280,203240,8.072585
519300,203240,7.998788
519320,203240,7.994149
519340,203240,7.995557
519360,203240,8.012546
519380,203240,8.040066
519400,203240,8.084301
519420,203240,8.144406
